"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001017>","mature CD1a-positive Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0001018>","immature CD8_alpha-low Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
